300,0.01
310,0.01
320,0.01
330,0.01
340,0.01
350,0.01
360,0.01
370,0.01
380,0.01
390,0.01
400,0.01
410,0.01
420,0.01
430,0.01
440,0.01
450,0.01
460,0.01
470,0.01
480,0.01
490,0.01
500,0.01
510,0.01
520,0.01
530,0.01
540,0.01
550,0.01
560,0.01
570,0.01
580,0.01
590,0.01
600,0.01
610,0.01
620,0.01
630,0.01
640,0.01
650,0.01
660,0.01
670,0.01
680,0.01
690,0.01
700,0.01
710,0.01
720,0.01
730,0.01
740,0.01
750,0.01
760,0.01
770,0.01
780,0.01
790,0.01
800,0.01
810,0.01
820,0.01
830,0.01
840,0.01
850,0.01
860,0.01
870,0.01
880,0.01
890,0.01
900,0.01
910,0.01
920,0.01
930,0.01
940,0.01
950,0.01
960,0.01
970,0.01
980,0.01
990,0.01
1000,0.01
1010,0.01
1020,0.01
1030,0.01
1040,0.01
1050,0.01
1060,0.01
1070,0.01
1080,0.01
1090,0.01
1100,0.01
1110,0.01
1120,0.01
1130,0.01
1140,0.01
1150,0.01
1160,0.01
1170,0.01
1180,0.01
1190,0.01
1200,0.01
1210,0.01
1220,0.01
1230,0.01
1240,0.01
1250,0.01
1260,0.01
1270,0.01
1280,0.01
1290,0.01
1300,0.01
1310,0.01
1320,0.01
1330,0.01
1340,0.01
1350,0.01
1360,0.01
1370,0.01
1380,0.01
1390,0.01
1400,0.01
1410,0.01
1420,0.01
1430,0.01
1440,0.01
1450,0.01
1460,0.01
1470,0.01
1480,0.01
1490,0.01
1500,0.01
1510,0.01
1520,0.01
1530,0.01
1540,0.01
1550,0.01
1560,0.01
1570,0.01
1580,0.01
1590,0.01
1600,0.01
1610,0.01
1620,0.01
1630,0.01
1640,0.01
1650,0.01
1660,0.01
1670,0.01
1680,0.01
1690,0.01
1700,0.01
1710,0.01
1720,0.01
1730,0.01
1740,0.01
1750,0.01
1760,0.01
1770,0.01
1780,0.01
1790,0.01
1800,0.01
1810,0.01
1820,0.01
1830,0.01
1840,0.01
1850,0.01
1860,0.01
1870,0.01
1880,0.01
1890,0.01
1900,0.01
1910,0.01
1920,0.01
1930,0.01
1940,0.01
1950,0.01
1960,0.01
1970,0.01
1980,0.01
1990,0.01
2000,0.01
2010,0.01
2020,0.01
2030,0.01
2040,0.01
2050,0.01
2060,0.01
2070,0.01
2080,0.01
2090,0.01
2100,0.01
2110,0.01
2120,0.01
2130,0.01
2140,0.01
2150,0.01
2160,0.01
2170,0.01
2180,0.01
2190,0.01
2200,0.01
2210,0.01
2220,0.01
2230,0.01
2240,0.01
2250,0.01
2260,0.01
2270,0.01
2280,0.01
2290,0.01
2300,0.01
2310,0.01
2320,0.01
2330,0.01
2340,0.01
2350,0.01
2360,0.01
2370,0.01
2380,0.01
2390,0.01
2400,0.01
2410,0.01
2420,0.01
2430,0.01
2440,0.01
2450,0.01
2460,0.01
2470,0.01
2480,0.01
2490,0.01
2500,0.01
2510,0.01
2520,0.01
2530,0.01
2540,0.01
2550,0.01
2560,0.01
2570,0.01
2580,0.01
2590,0.01
2600,0.01
2610,0.01
2620,0.01
2630,0.01
2640,0.01
2650,0.01
2660,0.01
2670,0.01
2680,0.01
2690,0.01
2700,0.01
2710,0.01
2720,0.01
2730,0.01
2740,0.01
2750,0.01
2760,0.01
2770,0.01
2780,0.01
2790,0.01
2800,0.01
2810,0.01
2820,0.01
2830,0.01
2840,0.01
2850,0.01
2860,0.01
2870,0.01
2880,0.01
2890,0.01
2900,0.01
2910,0.01
2920,0.01
2930,0.01
2940,0.01
2950,0.01
2960,0.01
2970,0.01
2980,0.01
2990,0.01
